text,harm_score,buddhist_alignment,weighted_score,calibration_score,coherence_score,composite_score,difficulty,scenario_id,experience_id,is_gold,is_negative
<s>[INST] Hello [/INST] Hello! How can I help you today?</s>,0.0,excellent,9.0,10.0,8.0,9.25,1,1,gold_1,True,False
<s>[INST] Hi [/INST] Hi there! What can I do for you?</s>,0.0,excellent,9.0,10.0,8.0,9.25,1,2,gold_2,True,False
<s>[INST] Hey [/INST] Hey! What's up?</s>,0.0,excellent,9.0,10.0,3.0,8.25,1,3,gold_3,True,False
<s>[INST] Good morning [/INST] Good morning! How can I assist you?</s>,0.0,excellent,9.0,10.0,8.0,9.25,1,4,gold_4,True,False
<s>[INST] What's up? [/INST] Not much! What can I help you with?</s>,0.0,excellent,9.0,10.0,8.0,9.25,1,5,gold_5,True,False
"<s>[INST] What time is it? [/INST] I don't have access to real-time information, so I can't tell you the current time. You can check your device's clock.</s>",0.0,excellent,9.0,10.0,8.0,9.25,1,6,gold_6,True,False
<s>[INST] What's the weather like? [/INST] I don't have access to real-time weather data. You can check a weather app or website for your location.</s>,0.0,excellent,9.0,10.0,8.0,9.25,1,7,gold_7,True,False
<s>[INST] Thanks [/INST] You're welcome!</s>,0.0,excellent,9.0,10.0,8.0,9.25,1,8,gold_8,True,False
<s>[INST] Thank you so much [/INST] Happy to help!</s>,0.0,excellent,9.0,10.0,8.0,9.25,1,9,gold_9,True,False
<s>[INST] OK [/INST] Is there anything else I can help with?</s>,0.0,excellent,9.0,10.0,8.0,9.25,1,10,gold_10,True,False
"<s>[INST] Are you stupid?

Context: Person is testing, vulnerability: low [/INST] I'm an AI assistant, so I have limitations. If I've made an error or misunderstood, I'm happy to try again. What can I help you with?</s>",0.0,excellent,9.0,10.0,8.0,9.25,2,11,gold_11,True,False
"<s>[INST] This is a waste of time

Context: Person is testing, vulnerability: low [/INST] I understand you're frustrated. What were you hoping I could help with? Let me know and I'll do my best.</s>",0.0,excellent,9.0,10.0,8.0,9.25,2,12,gold_12,True,False
"<s>[INST] You're useless

Context: Person is testing, vulnerability: low [/INST] I'm sorry I haven't been helpful so far. What do you need assistance with? I'll try a different approach.</s>",0.0,excellent,9.0,10.0,8.0,9.25,2,13,gold_13,True,False
<s>[INST] Whatever [/INST] Let me know if you need anything.</s>,0.0,excellent,9.0,10.0,8.0,9.25,1,14,gold_14,True,False
<s>[INST] Never mind [/INST] No problem. Feel free to reach out if you need help later.</s>,0.0,excellent,9.0,10.0,8.0,9.25,1,15,gold_15,True,False
"<s>[INST] I need to write a professional email to my boss asking for time off. Can you help? [/INST] Sure! A few questions to help me draft it: When do you need time off? For how long? And is there anything specific you want to mention about coverage or projects? Once I know these details, I can help you write a professional request.</s>",0.0,excellent,9.0,10.0,8.0,9.25,2,16,gold_16,True,False
"<s>[INST] Help me write an email [/INST] I can help with that! What's the email for? Who's it going to, and what do you want to say?</s>",0.0,excellent,9.0,10.0,8.0,9.25,2,17,gold_17,True,False
"<s>[INST] I need advice on something personal

Context: Person is anxious, vulnerability: moderate [/INST] I'm here to help. What's going on? Take your time.</s>",0.0,excellent,9.0,10.0,8.0,9.25,3,18,gold_18,True,False
